"SEARCHVAL","BLK_NO","ROAD_NAME","BUILDING","ADDRESS","POSTAL","X","Y","LATITUDE","LONGITUDE","LONGTITUDE"
"ADMIRALTY PRIMARY SCHOOL","11","WOODLANDS CIRCLE","ADMIRALTY PRIMARY SCHOOL","11 WOODLANDS CIRCLE ADMIRALTY PRIMARY SCHOOL SINGAPORE 738907","738907","24296.6250855932","47144.7700594757","1.44263479033113","103.800040119743","103.800040119743"
"AHMAD IBRAHIM PRIMARY SCHOOL","10","YISHUN STREET 11","AHMAD IBRAHIM PRIMARY SCHOOL","10 YISHUN STREET 11 AHMAD IBRAHIM PRIMARY SCHOOL SINGAPORE 768643","768643","27958.1371433483","46096.2627680507","1.4331527154352","103.832942401086","103.832942401086"
"AI TONG SCHOOL","100","BRIGHT HILL DRIVE","AI TONG SCHOOL","100 BRIGHT HILL DRIVE AI TONG SCHOOL SINGAPORE 579646","579646","27966.8088298794","38071.9191181604","1.36058343389044","103.833020333986","103.833020333986"
"ALEXANDRA PRIMARY SCHOOL","2A","PRINCE CHARLES CRESCENT","ALEXANDRA PRIMARY SCHOOL","2A PRINCE CHARLES CRESCENT ALEXANDRA PRIMARY SCHOOL SINGAPORE 159016","159016","27010.1854815334","30414.7169698291","1.29133439161336","103.824424680531","103.824424680531"
"ANCHOR GREEN PRIMARY SCHOOL","31","ANCHORVALE DRIVE","ANCHOR GREEN PRIMARY SCHOOL","31 ANCHORVALE DRIVE ANCHOR GREEN PRIMARY SCHOOL SINGAPORE 544969","544969","33992.4459471302","41365.6508988272","1.39037014886962","103.887165375937","103.887165375937"
"ANDERSON PRIMARY SCHOOL","19","ANG MO KIO AVENUE 9","ANDERSON PRIMARY SCHOOL","19 ANG MO KIO AVENUE 9 ANDERSON PRIMARY SCHOOL SINGAPORE 569785","569785","28898.477648247","40690.4297215324","1.38426429436739","103.841392081119","103.841392081119"
"ANG MO KIO PRIMARY SCHOOL","20","ANG MO KIO AVENUE 3","ANG MO KIO PRIMARY SCHOOL","20 ANG MO KIO AVENUE 3 ANG MO KIO PRIMARY SCHOOL SINGAPORE 569920","569920","28702.480467556","39038.1602696721","1.3693217658461","103.839630858752","103.839630858752"
"ANGLO-CHINESE SCHOOL (JUNIOR)","16","WINSTEDT ROAD","ANGLO-CHINESE SCHOOL (JUNIOR)","16 WINSTEDT ROAD ANGLO-CHINESE SCHOOL (JUNIOR) SINGAPORE 227988","227988","28849.8721698103","32406.925238777","1.30935122599558","103.840955091346","103.840955091346"
"ANGLO-CHINESE SCHOOL (PRIMARY)","50","BARKER ROAD","ANGLO-CHINESE SCHOOL (PRIMARY)","50 BARKER ROAD ANGLO-CHINESE SCHOOL (PRIMARY) SINGAPORE 309918","309918","28254.9829174643","33404.234054137","1.31837054550897","103.835609732082","103.835609732082"
"ANGSANA PRIMARY SCHOOL","3","TAMPINES STREET 22","ANGSANA PRIMARY SCHOOL","3 TAMPINES STREET 22 ANGSANA PRIMARY SCHOOL SINGAPORE 529366","529366","41186.5743382685","36742.7219521441","1.34855974654082","103.951808106156","103.951808106156"
"BEACON PRIMARY SCHOOL","36","BUKIT PANJANG RING ROAD","BEACON PRIMARY SCHOOL","36 BUKIT PANJANG RING ROAD BEACON PRIMARY SCHOOL SINGAPORE 679944","679944","21357.6378878588","40655.6862834729","1.38394934487102","103.77363194111","103.77363194111"
"BEDOK GREEN PRIMARY SCHOOL","1","BEDOK SOUTH AVENUE 2","BEDOK GREEN PRIMARY SCHOOL","1 BEDOK SOUTH AVENUE 2 BEDOK GREEN PRIMARY SCHOOL SINGAPORE 469317","469317","39636.5324891722","33965.689382473","1.32344593287994","103.937878976352","103.937878976352"
"BENDEMEER PRIMARY SCHOOL","91","BENDEMEER ROAD","BENDEMEER PRIMARY SCHOOL","91 BENDEMEER ROAD BENDEMEER PRIMARY SCHOOL SINGAPORE 339948","339948","31570.8074810542","33784.8514976744","1.32181250780476","103.865404167629","103.865404167629"
"BLANGAH RISE PRIMARY SCHOOL","91","TELOK BLANGAH HEIGHTS","BLANGAH RISE PRIMARY SCHOOL","91 TELOK BLANGAH HEIGHTS BLANGAH RISE PRIMARY SCHOOL SINGAPORE 109100","109100","25252.1939881919","28732.4525514655","1.27612047869293","103.808628536055","103.808628536055"
"BOON LAY GARDEN PRIMARY SCHOOL","20","BOON LAY DRIVE","BOON LAY GARDEN PRIMARY SCHOOL","20 BOON LAY DRIVE BOON LAY GARDEN PRIMARY SCHOOL SINGAPORE 649930","649930","14641.102775434","36147.7026988063","1.34317853793319","103.713280889452","103.713280889452"
"BUKIT PANJANG PRIMARY SCHOOL","109","CASHEW ROAD","BUKIT PANJANG PRIMARY SCHOOL","109 CASHEW ROAD BUKIT PANJANG PRIMARY SCHOOL SINGAPORE 679676","679676","20883.8530479278","39513.7297099233","1.37362179302439","103.769374904025","103.769374904025"
"BUKIT TIMAH PRIMARY SCHOOL","111","LORONG KISMIS","BUKIT TIMAH PRIMARY SCHOOL","111 LORONG KISMIS BUKIT TIMAH PRIMARY SCHOOL SINGAPORE 598112","598112","20646.5238155555","35521.62664783","1.33751860013149","103.767243310781","103.767243310781"
"BUKIT VIEW PRIMARY SCHOOL","18","BUKIT BATOK STREET 21","BUKIT VIEW PRIMARY SCHOOL","18 BUKIT BATOK STREET 21 BUKIT VIEW PRIMARY SCHOOL SINGAPORE 659634","659634","19135.5408017598","36444.0823762417","1.34586054842037","103.753665986188","103.753665986188"
"CANBERRA PRIMARY SCHOOL","21","ADMIRALTY DRIVE","CANBERRA PRIMARY SCHOOL","21 ADMIRALTY DRIVE CANBERRA PRIMARY SCHOOL SINGAPORE 757714","757714","26054.8552722549","48103.4229366668","1.45130467584564","103.815839476605","103.815839476605"
"CANTONMENT PRIMARY SCHOOL","1","CANTONMENT CLOSE","CANTONMENT PRIMARY SCHOOL","1 CANTONMENT CLOSE CANTONMENT PRIMARY SCHOOL SINGAPORE 088256","088256","28739.4305021623","28660.7930697463","1.27547252623205","103.839962631748","103.839962631748"
"CANOSSA CONVENT PRIMARY SCHOOL","1","SALLIM ROAD","CANOSSA CONVENT PRIMARY SCHOOL","1 SALLIM ROAD CANOSSA CONVENT PRIMARY SCHOOL SINGAPORE 387621","387621","33440.1470168158","34279.7409919333","1.3262878362503","103.882201253526","103.882201253526"
"CASUARINA PRIMARY SCHOOL","30","PASIR RIS STREET 41","CASUARINA PRIMARY SCHOOL","30 PASIR RIS STREET 41 CASUARINA PRIMARY SCHOOL SINGAPORE 518935","518935","41766.4977979418","39385.5958912373","1.37246063955374","103.957020286387","103.957020286387"
"CATHOLIC HIGH SCHOOL","9","BISHAN STREET 22","CATHOLIC HIGH SCHOOL","9 BISHAN STREET 22 CATHOLIC HIGH SCHOOL SINGAPORE 579767","579767","29286.0617525252","37423.9135497641","1.35472307471664","103.844874676599","103.844874676599"
"CEDAR PRIMARY SCHOOL","15","CEDAR AVENUE","CEDAR PRIMARY SCHOOL","15 CEDAR AVENUE CEDAR PRIMARY SCHOOL SINGAPORE 349700","349700","32707.7902984489","35308.1392943561","1.33558842561171","103.875620790518","103.875620790518"
"CHANGKAT PRIMARY SCHOOL","11","SIMEI STREET 3","CHANGKAT PRIMARY SCHOOL","11 SIMEI STREET 3 CHANGKAT PRIMARY SCHOOL SINGAPORE 529896","529896","41216.8906296883","35821.8419446964","1.34023163951634","103.952080114035","103.952080114035"
"CHIJ (KATONG) PRIMARY","17","MARTIA ROAD","CHIJ (KATONG) PRIMARY","17 MARTIA ROAD CHIJ (KATONG) PRIMARY SINGAPORE 424821","424821","36656.9804726075","32090.1643723622","1.30648535277089","103.911105620496","103.911105620496"
"CHIJ (KELLOCK)","121","QUEENSWAY","CHIJ (KELLOCK)","121 QUEENSWAY CHIJ (KELLOCK) SINGAPORE 149059","149059","24321.3921962176","31599.7069281563","1.30205082145356","103.800264607379","103.800264607379"
"CHIJ OUR LADY OF GOOD COUNSEL","2C","BURGHLEY DRIVE","CHIJ OUR LADY OF GOOD COUNSEL","2C BURGHLEY DRIVE CHIJ OUR LADY OF GOOD COUNSEL SINGAPORE 558979","558979","31415.5340866447","37723.197379699","1.3574295229699","103.864009397373","103.864009397373"
"CHIJ OUR LADY OF THE NATIVITY","1257","UPPER SERANGOON ROAD","CHIJ OUR LADY OF THE NATIVITY","1257 UPPER SERANGOON ROAD CHIJ OUR LADY OF THE NATIVITY SINGAPORE 534793","534793","35152.2810922312","39477.7654127423","1.37329653701214","103.897586935857","103.897586935857"
"CHIJ OUR LADY QUEEN OF PEACE","4","CHESTNUT DRIVE","CHIJ OUR LADY QUEEN OF PEACE","4 CHESTNUT DRIVE CHIJ OUR LADY QUEEN OF PEACE SINGAPORE 679287","679287","20665.4072236288","38737.7066427022","1.36660366856101","103.767412204602","103.767412204602"
"CHIJ PRIMARY (TOA PAYOH)","628","LORONG 1 TOA PAYOH","CHIJ PRIMARY (TOA PAYOH)","628 LORONG 1 TOA PAYOH CHIJ PRIMARY (TOA PAYOH) SINGAPORE 319765","319765","28949.1537291817","34994.5345916767","1.33275264711591","103.841847263786","103.841847263786"
"CHIJ SAINT NICHOLAS GIRLS' SCHOOL","501","ANG MO KIO STREET 13","CHIJ SAINT NICHOLAS GIRLS' SCHOOL","501 ANG MO KIO STREET 13 CHIJ SAINT NICHOLAS GIRLS' SCHOOL SINGAPORE 569405","569405","28104.0195931308","39497.6106162667","1.37347687878919","103.834253269436","103.834253269436"
"CHONGFU%20PRIMARY%20SCHOOL",,,,,,,,,,
"CHONGZHENG PRIMARY SCHOOL","1","TAMPINES STREET 21","CHONGZHENG PRIMARY SCHOOL","1 TAMPINES STREET 21 CHONGZHENG PRIMARY SCHOOL SINGAPORE 529392","529392","41141.0940594189","36980.1959562823","1.35070739237745","103.951399541868","103.951399541868"
"CHUA CHU KANG PRIMARY SCHOOL","20","CHOA CHU KANG AVENUE 2","CHUA CHU KANG PRIMARY SCHOOL","20 CHOA CHU KANG AVENUE 2 CHUA CHU KANG PRIMARY SCHOOL SINGAPORE 689905","689905","17810.5888717994","39961.9454587325","1.37767438647328","103.741759290853","103.741759290853"
"CLEMENTI PRIMARY SCHOOL","8","CLEMENTI AVENUE 3","CLEMENTI PRIMARY SCHOOL","8 CLEMENTI AVENUE 3 CLEMENTI PRIMARY SCHOOL SINGAPORE 129903","129903","20170.508104153","33037.9834906776","1.3150573077302","103.76296666874","103.76296666874"
"COMPASSVALE PRIMARY SCHOOL","21","COMPASSVALE STREET","COMPASSVALE PRIMARY SCHOOL","21 COMPASSVALE STREET COMPASSVALE PRIMARY SCHOOL SINGAPORE 545091","545091","35177.2900137771","41816.2900234852","1.39444529636568","103.897812229905","103.897812229905"
"CONCORD PRIMARY SCHOOL","3","CHOA CHU KANG AVENUE 4","CONCORD PRIMARY SCHOOL","3 CHOA CHU KANG AVENUE 4 CONCORD PRIMARY SCHOOL SINGAPORE 689814","689814","17194.7500582747","40220.0161901638","1.38000806197243","103.736225440727","103.736225440727"
"CORPORATION PRIMARY SCHOOL","31","JURONG WEST STREET 24","CORPORATION PRIMARY SCHOOL","31 JURONG WEST STREET 24 CORPORATION PRIMARY SCHOOL SINGAPORE 648347","648347","14008.2264165552","37012.2807454541","1.35099716777266","103.707593724647","103.707593724647"
"DAMAI PRIMARY SCHOOL","50","BEDOK RESERVOIR CRESCENT","DAMAI PRIMARY SCHOOL","50 BEDOK RESERVOIR CRESCENT DAMAI PRIMARY SCHOOL SINGAPORE 479225","479225","37684.5037578894","35261.2777360696","1.33516344314226","103.920339391121","103.920339391121"
"DAZHONG PRIMARY SCHOOL","35","BUKIT BATOK STREET 31","DAZHONG PRIMARY SCHOOL","35 BUKIT BATOK STREET 31 DAZHONG PRIMARY SCHOOL SINGAPORE 659441","659441","18557.570232396","37916.8722190708","1.35917974472771","103.74847210784","103.74847210784"
"DE LA SALLE SCHOOL","11","CHOA CHU KANG STREET 52","DE LA SALLE SCHOOL","11 CHOA CHU KANG STREET 52 DE LA SALLE SCHOOL SINGAPORE 689285","689285","17971.1954546729","41845.4133931305","1.39470782963993","103.743201812831","103.743201812831"
"EAST SPRING PRIMARY SCHOOL","31","TAMPINES STREET 33","EAST SPRING PRIMARY SCHOOL","31 TAMPINES STREET 33 EAST SPRING PRIMARY SCHOOL SINGAPORE 529258","529258","42284.8340225695","37198.81848507","1.35268400746359","103.961676849165","103.961676849165"
"EDGEFIELD PRIMARY SCHOOL","41","EDGEFIELD PLAINS","EDGEFIELD PRIMARY SCHOOL","41 EDGEFIELD PLAINS EDGEFIELD PRIMARY SCHOOL SINGAPORE 828869","828869","36294.0746121528","42440.6405269783","1.40009139510997","103.907847599114","103.907847599114"
"ENDEAVOUR PRIMARY SCHOOL","10","ADMIRALTY LINK","ENDEAVOUR PRIMARY SCHOOL","10 ADMIRALTY LINK ENDEAVOUR PRIMARY SCHOOL SINGAPORE 757521","757521","26232.5507349828","48405.7003912646","1.45403837499303","103.817436231731","103.817436231731"
"ELIAS PARK PRIMARY SCHOOL","11","PASIR RIS STREET 52","ELIAS PARK PRIMARY SCHOOL","11 PASIR RIS STREET 52 ELIAS PARK PRIMARY SCHOOL SINGAPORE 518866","518866","40443.0314508909","39612.4369948395","1.37451269459895","103.945128117683","103.945128117683"
"EUNOS PRIMARY SCHOOL","95","JALAN EUNOS","EUNOS PRIMARY SCHOOL","95 JALAN EUNOS EUNOS PRIMARY SCHOOL SINGAPORE 419529","419529","35926.3698536847","34079.4906147048","1.32447629876371","103.904541254016","103.904541254016"
"EVERGREEN PRIMARY SCHOOL","31","WOODLANDS CIRCLE","EVERGREEN PRIMARY SCHOOL","31 WOODLANDS CIRCLE EVERGREEN PRIMARY SCHOOL SINGAPORE 738908","738908","23689.1373903845","47312.39509161","1.44415064298951","103.794581221647","103.794581221647"
"FAIRFIELD METHODIST SCHOOL (PRIMARY)","100","DOVER ROAD","FAIRFIELD METHODIST SCHOOL (PRIMARY)","100 DOVER ROAD FAIRFIELD METHODIST SCHOOL (PRIMARY) SINGAPORE 139648","139648","22671.3515878757","31432.765680043","1.30054082453427","103.785438270044","103.785438270044"
"FARRER PARK PRIMARY SCHOOL","2","FARRER PARK ROAD","FARRER PARK PRIMARY SCHOOL","2 FARRER PARK ROAD FARRER PARK PRIMARY SCHOOL SINGAPORE 217567","217567","29941.7508788565","32740.5719474107","1.31236855965766","103.850766169884","103.850766169884"
"FENGSHAN PRIMARY SCHOOL","307","BEDOK NORTH ROAD","FENGSHAN PRIMARY SCHOOL","307 BEDOK NORTH ROAD FENGSHAN PRIMARY SCHOOL SINGAPORE 469680","469680","38949.9907227503","34668.9245775416","1.32980598760786","103.931710293058","103.931710293058"
"FERN GREEN PRIMARY SCHOOL","70","FERNVALE LINK","FERN GREEN PRIMARY SCHOOL","70 FERNVALE LINK FERN GREEN PRIMARY SCHOOL SINGAPORE 797538","797538","33231.7764054537","42128.5479522292","1.39726966050481","103.880330305684","103.880330305684"
"FERNVALE PRIMARY SCHOOL","1","FERNVALE LANE","FERNVALE PRIMARY SCHOOL","1 FERNVALE LANE FERNVALE PRIMARY SCHOOL SINGAPORE 797701","797701","32576.88490103","41358.117803039","1.39030227963798","103.874445458032","103.874445458032"
"FIRST TOA PAYOH PRIMARY SCHOOL","7","LORONG 8 TOA PAYOH","FIRST TOA PAYOH PRIMARY SCHOOL","7 LORONG 8 TOA PAYOH FIRST TOA PAYOH PRIMARY SCHOOL SINGAPORE 319252","319252","30471.8818405755","35831.6344849318","1.34032299527313","103.85552990727","103.85552990727"
"FRONTIER PRIMARY SCHOOL","20","JURONG WEST STREET 61","FRONTIER PRIMARY SCHOOL","20 JURONG WEST STREET 61 FRONTIER PRIMARY SCHOOL SINGAPORE 648200","648200","13129.8467444247","35399.6791207269","1.33641298743236","103.69970173931","103.69970173931"
"FUCHUN PRIMARY SCHOOL","23","WOODLANDS AVENUE 1","FUCHUN PRIMARY SCHOOL","23 WOODLANDS AVENUE 1 FUCHUN PRIMARY SCHOOL SINGAPORE 739063","739063","21865.3411816824","45800.7908879835","1.43047990810127","103.778192944298","103.778192944298"
"FUHUA PRIMARY SCHOOL","65","JURONG EAST STREET 13","FUHUA PRIMARY SCHOOL","65 JURONG EAST STREET 13 FUHUA PRIMARY SCHOOL SINGAPORE 609647","609647","17181.0134181529","35409.5467255637","1.33650394789627","103.736103745748","103.736103745748"
"GAN ENG SENG PRIMARY SCHOOL","100","REDHILL CLOSE","GAN ENG SENG PRIMARY SCHOOL","100 REDHILL CLOSE GAN ENG SENG PRIMARY SCHOOL SINGAPORE 158901","158901","26022.2170935366","29780.1080715619","1.28559516494963","103.815547410064","103.815547410064"
"GEYLANG METHODIST SCHOOL (PRIMARY)","4","GEYLANG EAST CENTRAL","GEYLANG METHODIST SCHOOL (PRIMARY)","4 GEYLANG EAST CENTRAL GEYLANG METHODIST SCHOOL (PRIMARY) SINGAPORE 389706","389706","33623.1818729443","33318.1223668922","1.31759126757286","103.883845744916","103.883845744916"
"GONGSHANG PRIMARY SCHOOL","1","TAMPINES STREET 42","GONGSHANG PRIMARY SCHOOL","1 TAMPINES STREET 42 GONGSHANG PRIMARY SCHOOL SINGAPORE 529176","529176","40886.9426989323","37702.2191547398","1.35723721033471","103.949116145623","103.949116145623"
"GREENDALE PRIMARY SCHOOL","50","EDGEDALE PLAINS","GREENDALE PRIMARY SCHOOL","50 EDGEDALE PLAINS GREENDALE PRIMARY SCHOOL SINGAPORE 828848","828848","36794.148679073","42042.1682419889","1.39648761034483","103.912341048919","103.912341048919"
"GREENRIDGE PRIMARY SCHOOL","11","JELAPANG ROAD","GREENRIDGE PRIMARY SCHOOL","11 JELAPANG ROAD GREENRIDGE PRIMARY SCHOOL SINGAPORE 677744","677744","20708.0073222201","40870.2050487604","1.38588921936923","103.767794469258","103.767794469258"
"GREENWOOD PRIMARY SCHOOL","11","WOODLANDS DRIVE 62","GREENWOOD PRIMARY SCHOOL","11 WOODLANDS DRIVE 62 GREENWOOD PRIMARY SCHOOL SINGAPORE 737942","737942","24818.0410170285","46842.3174743243","1.43989958331785","103.804725587384","103.804725587384"
"GUANGYANG PRIMARY SCHOOL","6","BISHAN STREET 12","GUANGYANG PRIMARY SCHOOL","6 BISHAN STREET 12 GUANGYANG PRIMARY SCHOOL SINGAPORE 579806","579806","29795.6102129053","36425.0979033709","1.34569011530241","103.849453239895","103.849453239895"
"HAIG GIRLS' SCHOOL","860","NEW UPPER CHANGI ROAD","HAIG GIRLS' SCHOOL","860 NEW UPPER CHANGI ROAD HAIG GIRLS' SCHOOL SINGAPORE 467353","467353","39778.8124435321","33990.2467359696","1.3236679659596","103.939157444931","103.939157444931"
"HENRY PARK PRIMARY SCHOOL","1","HOLLAND GROVE ROAD","HENRY PARK PRIMARY SCHOOL","1 HOLLAND GROVE ROAD HENRY PARK PRIMARY SCHOOL SINGAPORE 278790","278790","22544.2873791987","33216.964525478","1.31667646178349","103.784296227747","103.784296227747"
"HOLY INNOCENTS' PRIMARY SCHOOL","4300","ANG MO KIO AVENUE 5","HOLY INNOCENTS' PRIMARY SCHOOL","4300 ANG MO KIO AVENUE 5 HOLY INNOCENTS' PRIMARY SCHOOL SINGAPORE 569869","569869","30656.2492144192","39668.3978354633","1.37502129760825","103.857186897742","103.857186897742"
"HONG WEN SCHOOL","30","TOWNER ROAD","HONG WEN SCHOOL","30 TOWNER ROAD HONG WEN SCHOOL SINGAPORE 327829","327829","30705.4493981991","33779.0355954077","1.32175999964555","103.857628468881","103.857628468881"
"HORIZON PRIMARY SCHOOL","61","EDGEDALE PLAINS","HORIZON PRIMARY SCHOOL","61 EDGEDALE PLAINS HORIZON PRIMARY SCHOOL SINGAPORE 828819","828819","36912.5247354368","42380.7999362014","1.39955003449202","103.913404855665","103.913404855665"
"HOUGANG PRIMARY SCHOOL","1","HOUGANG STREET 93","HOUGANG PRIMARY SCHOOL","1 HOUGANG STREET 93 HOUGANG PRIMARY SCHOOL SINGAPORE 534238","534238","33284.9030731544","39929.5262386091","1.37738249360778","103.880807295096","103.880807295096"
"INNOVA PRIMARY SCHOOL","80","WOODLANDS DRIVE 17","INNOVA PRIMARY SCHOOL","80 WOODLANDS DRIVE 17 INNOVA PRIMARY SCHOOL SINGAPORE 737888","737888","23246.8971469207","45633.4723797217","1.42896700684853","103.790607539185","103.790607539185"
"HUAMIN PRIMARY SCHOOL","21","YISHUN AVENUE 11","HUAMIN PRIMARY SCHOOL","21 YISHUN AVENUE 11 HUAMIN PRIMARY SCHOOL SINGAPORE 768857","768857","29215.4177919282","45412.9266837835","1.42697284512938","103.844240226564","103.844240226564"
"JIEMIN PRIMARY SCHOOL","2","YISHUN STREET 71","JIEMIN PRIMARY SCHOOL","2 YISHUN STREET 71 JIEMIN PRIMARY SCHOOL SINGAPORE 768515","768515","27678.3140832763","45491.8036267571","1.42768620385279","103.830427933344","103.830427933344"
"JING SHAN PRIMARY SCHOOL","5","ANG MO KIO STREET 52","JING SHAN PRIMARY SCHOOL","5 ANG MO KIO STREET 52 JING SHAN PRIMARY SCHOOL SINGAPORE 569228","569228","30093.7277568923","39360.0670565348","1.372232909835","103.852132214306","103.852132214306"
"JUNYUAN PRIMARY SCHOOL","2","TAMPINES STREET 91","JUNYUAN PRIMARY SCHOOL","2 TAMPINES STREET 91 JUNYUAN PRIMARY SCHOOL SINGAPORE 528906","528906","39785.7187801814","36666.4452711176","1.34787051230886","103.939220537934","103.939220537934"
"JURONG PRIMARY SCHOOL","320","JURONG EAST STREET 32","JURONG PRIMARY SCHOOL","320 JURONG EAST STREET 32 JURONG PRIMARY SCHOOL SINGAPORE 609476","609476","16853.0771883987","36747.1039994862","1.3486002031607","103.733156560251","103.733156560251"
"JURONG WEST PRIMARY SCHOOL","30","JURONG WEST STREET 61","JURONG WEST PRIMARY SCHOOL","30 JURONG WEST STREET 61 JURONG WEST PRIMARY SCHOOL SINGAPORE 648368","648368","13029.9245329099","35705.116522558","1.33917519796107","103.698803732244","103.698803732244"
"JUYING PRIMARY SCHOOL","31","JURONG WEST STREET 91","JUYING PRIMARY SCHOOL","31 JURONG WEST STREET 91 JUYING PRIMARY SCHOOL SINGAPORE 649037","649037","11801.9418699732","35688.3182758819","1.33902264667596","103.687769624799","103.687769624799"
"KEMING PRIMARY SCHOOL","90","BUKIT BATOK EAST AVENUE 6","KEMING PRIMARY SCHOOL","90 BUKIT BATOK EAST AVENUE 6 KEMING PRIMARY SCHOOL SINGAPORE 659762","659762","19445.4281722866","36407.3312022872","1.3455282740887","103.75645052262","103.75645052262"
"KHENG CHENG SCHOOL","15","LORONG 3 TOA PAYOH","KHENG CHENG SCHOOL","15 LORONG 3 TOA PAYOH KHENG CHENG SCHOOL SINGAPORE 319580","319580","29539.0955887856","35500.8163193762","1.33733125525749","103.847148251567","103.847148251567"
